min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,ceiling_height,number_of_rooms,CAR,EAR,NAR,NEAR,NWAR,SAR,SEAR,SWAR,WAR
1.0991664837550612,2.5704975318770287,2.7731539795714704,3.5246470655876214,3.5572632273276437,6.096200301176399,3.21301996136581,2.780595486545129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.0991664837550612,1.6190282242435003,1.6396146619696688,1.8781381097696075,1.9699963965725544,4.283457912167345,1.4318087729494269,1.0,1.0,1.0,1.0,4.396816778216333,1.0,1.0,1.0,1.0,1.0
1.0619790523469133,3.2422577900375678,2.798027883092513,1.9879053734908083,3.380900246132634,6.061997614591323,2.727235091797706,3.6708932298176937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.1115622942244439,1.6281990127508115,1.5330122183080572,2.9758107469816166,2.763629811950099,6.096200301176399,1.64771315942414,1.0,1.0,1.0,4.422463030036402,1.0,1.0,1.0,1.0,1.0,1.0
1.0619790523469133,5.14978179955828,4.162539161961139,1.6586035823272054,1.6172704341825346,5.514754629230099,2.9431394782724194,3.6708932298176937,3.8976289408605163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.223124588448888,2.391667155984462,2.005616385207868,3.3051125381452193,2.851811302547604,6.096200301176399,2.403378512085636,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0,1.0
1.074374862816296,2.3549840019552173,1.7355568612651189,1.3293017911636027,1.7054519247800395,6.096200301176399,1.7016892560428185,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.0247916209387653,4.0034332361443905,4.5534147887203815,1.3293017911636027,1.3527259623900196,1.889269851211989,2.9431394782724194,3.6708932298176937,3.8976289408605163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.260312019857036,2.7658353270827556,2.343190790136304,2.3172071646544112,2.1463593777675642,6.096200301176399,2.403378512085636,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,3.9046956176950216,1.0,1.0,1.0
1.1983329675101226,2.2609834197552785,2.1015585845033184,2.536741692096813,3.7336262085226535,6.096200301176399,2.403378512085636,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.0619790523469133,3.735187672305541,2.4284727450655934,1.2195345274424017,1.1763629811950098,6.096200301176399,2.6732589951790278,2.780595486545129,1.0,1.0,1.0,1.0,4.172970979032517,1.0,1.0,1.0,1.0
1.223124588448888,2.8020599416866343,2.872649593655641,1.0,1.8818149059750495,4.557079404847957,1.4587968212587654,2.780595486545129,1.0,1.0,1.0,4.396816778216333,1.0,1.0,1.0,1.0,1.0
1.0619790523469133,3.1207448423156956,3.8071976830891012,1.1097672637212008,1.5290889435850297,5.514754629230099,2.6732589951790278,2.780595486545129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.0619790523469133,1.696979926555645,1.5116917295757348,1.9879053734908083,2.234540868365069,6.096200301176399,2.808199236725723,1.0,1.0,1.0,1.0,1.0,1.0,3.9046956176950216,1.0,1.0,1.0
1.0495832418775306,1.6190282242435003,1.6040805140824648,1.0,1.9699963965725544,4.1808498524121145,1.4318087729494269,1.0,1.0,1.0,1.0,1.0,4.172970979032517,1.0,1.0,1.0,1.0
1.148749725632592,2.494838526691712,2.2117144429536504,3.4148798018664204,3.7336262085226535,6.027794928006246,2.6732589951790278,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0
1.0495832418775306,5.379051512241058,5.335166042238866,1.8781381097696075,2.763629811950099,5.30953850971964,2.403378512085636,3.6708932298176937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.3222910722039491,2.9854757118328568,2.2685690795731763,1.9879053734908083,2.1463593777675642,6.096200301176399,2.403378512085636,2.780595486545129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.0867706732856786,1.5250276420435613,1.6289544176035076,1.9879053734908083,1.9699963965725544,4.42026865850765,1.4318087729494269,1.0,1.0,1.0,1.0,1.0,1.0,3.9046956176950216,1.0,1.0,1.0
1.1363539151632094,1.6832237437946782,1.4974780704208535,2.866043483260416,2.6754483213525937,5.959389554836093,2.403378512085636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0,1.0
1.1363539151632094,1.5273203391703893,1.6040805140824648,1.0,1.3527259623900196,3.907228359731503,2.403378512085636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0
1.2107287779795053,3.728309580925057,3.132048873232229,1.4390690548848037,2.939992793145109,5.651565375570405,2.403378512085636,2.780595486545129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.1611455361019747,1.9904451587896006,1.7035761281666355,3.3051125381452193,3.8218076991201584,6.096200301176399,1.5937370628054617,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.1239581046938265,1.9400058219993894,2.11932565844692,1.4390690548848037,1.4409074529875248,2.1970940304776776,2.484342657013653,1.8902977432725647,3.8976289408605163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0619790523469133,1.664882166780056,1.6751488098568723,2.20743990093321,2.1463593777675642,4.317660598752421,1.5937370628054617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0,1.0
1.0495832418775306,1.4814663966338337,1.5330122183080572,2.097672637212009,1.9699963965725544,4.3518632853374974,1.4318087729494269,1.0,1.0,1.0,1.0,4.396816778216333,1.0,1.0,1.0,1.0,1.0
1.1363539151632094,2.7539133020232507,3.5406915739350726,1.9879053734908083,4.1745336615101785,5.925186868251017,2.9431394782724194,2.780595486545129,1.0,1.0,1.0,1.0,4.172970979032517,1.0,1.0,1.0,1.0
1.0991664837550612,2.453569978408812,2.556395677459527,1.4390690548848037,2.4109038495600794,5.172727763379334,1.4318087729494269,2.780595486545129,1.0,1.0,1.0,1.0,1.0,3.9046956176950216,1.0,1.0,1.0
1.1115622942244439,2.3756182760966675,2.648784461966257,1.7683708460484064,3.2927187555351285,6.061997614591323,2.133498028992244,1.8902977432725647,1.0,1.0,1.0,4.396816778216333,1.0,1.0,1.0,1.0,1.0
1.0991664837550612,2.5361070749746117,2.726959587318105,1.4390690548848037,2.322722358962574,4.454471345092728,1.5937370628054617,3.6708932298176937,3.8976289408605163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1983329675101226,1.7107361093166116,1.74621710563128,1.9879053734908083,1.9699963965725544,4.112444479241962,1.4587968212587654,1.8902977432725647,1.0,5.065101414371149,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1983329675101226,1.8712249081945562,1.4974780704208535,1.6586035823272054,2.499085340157584,6.061997614591323,2.6732589951790278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.2107287779795053,1.8207855714043448,2.02693687394019,1.2195345274424017,1.7054519247800395,4.1808498524121145,1.4318087729494269,1.8902977432725647,1.0,1.0,4.422463030036402,1.0,1.0,1.0,1.0,1.0,1.0
1.3346868826733318,3.1345010250766623,2.4675603077415174,2.20743990093321,2.0581778871700593,6.096200301176399,3.968685314027307,2.780595486545129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.1983329675101226,2.3549840019552173,2.7447266612617076,1.1097672637212008,1.7054519247800395,4.386065971922574,1.32385657971207,3.6708932298176937,1.0,5.065101414371149,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1239581046938265,1.7565900518531672,1.6644885654907113,2.20743990093321,2.4109038495600794,5.5489573158151755,1.4318087729494269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0
1.1983329675101226,1.6557113782727448,1.4335166042238865,1.2195345274424017,3.4690817367301383,6.130402987761476,2.0525338840642275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.776257645753059,1.0,1.0
1.0247916209387653,1.6557113782727448,1.6040805140824648,1.7683708460484064,2.4109038495600794,4.762295524358416,1.5937370628054617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
1.223124588448888,3.1918184532473566,3.7538964612582957,1.1097672637212008,3.7336262085226535,6.096200301176399,2.403378512085636,2.780595486545129,1.0,1.0,1.0,4.396816778216333,1.0,1.0,1.0,1.0,1.0
1.0,2.2609834197552785,2.2081610281649295,3.5246470655876214,4.1745336615101785,5.651565375570405,2.403378512085636,1.8902977432725647,1.0,1.0,4.422463030036402,1.0,1.0,1.0,1.0,1.0,1.0
1.3346868826733318,2.329764333560112,1.8457127197154508,2.3172071646544112,2.1463593777675642,6.096200301176399,2.403378512085636,1.8902977432725647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4685084926005865
